Plot Title: 20036649 Audubon 01,,,
#,"Date Time, GMT-07:00","High Range, μS/cm (LGR S/N: 20036649, SEN S/N: 20036649, LBL: Audubon 01 uS)","Temp, °C (LGR S/N: 20036649, SEN S/N: 20036649, LBL: Audubon 01 oC)"
490,04/10/18 16:15,22.6917,25.96
491,04/10/18 16:30,22.6917,26.12
492,04/10/18 16:45,22.6917,26.17
493,04/10/18 17:00,22.6917,26.3
494,04/10/18 17:15,22.6917,26.27
495,04/10/18 17:30,22.6917,26.3
496,04/10/18 17:45,22.6917,26.36
497,04/10/18 18:00,22.6917,26.25
498,04/10/18 18:15,22.6917,26.25
499,04/10/18 18:30,22.6917,26.19
500,04/10/18 18:45,22.6917,26
501,04/10/18 19:00,22.6917,25.91
502,04/10/18 19:15,22.6917,26.06
503,04/10/18 19:30,22.6917,25.74
504,04/10/18 19:45,22.6917,25.6
505,04/10/18 20:00,22.6917,25.38
506,04/10/18 20:15,22.6917,25.22
507,04/10/18 20:30,22.6917,25.08
508,04/10/18 20:45,22.6917,24.91
509,04/10/18 21:00,22.6917,24.87
510,04/10/18 21:15,22.6917,25
511,04/10/18 21:30,22.6917,25.27
512,04/10/18 21:45,22.6917,25.32
513,04/10/18 22:00,22.6917,25.34
514,04/10/18 22:15,22.6917,24.79
515,04/10/18 22:30,22.6917,24.54
516,04/10/18 22:45,22.6917,24.02
517,04/10/18 23:00,22.6917,24.76
518,04/10/18 23:15,22.6917,24.78
519,04/10/18 23:30,22.6917,24.72
520,04/10/18 23:45,22.6917,24.68
521,04/11/18 0:00,22.6917,24.21
522,04/11/18 0:15,22.6917,24.22
523,04/11/18 0:30,22.6917,24.01
524,04/11/18 0:45,22.6917,23.95
525,04/11/18 1:00,22.6917,23.99
526,04/11/18 1:15,22.6917,23.81
527,04/11/18 1:30,22.6917,23.78
528,04/11/18 1:45,22.6917,23.77
529,04/11/18 2:00,22.6917,23.61
530,04/11/18 2:15,22.6917,23.72
531,04/11/18 2:30,22.6917,23.43
532,04/11/18 2:45,22.6917,22.79
533,04/11/18 3:00,22.6917,22.69
534,04/11/18 3:15,22.6917,22.56
535,04/11/18 3:30,22.6917,22.52
536,04/11/18 3:45,22.6917,23.27
537,04/11/18 4:00,22.6917,23.11
538,04/11/18 4:15,22.6917,23.25
539,04/11/18 4:30,22.6917,22.94
540,04/11/18 4:45,22.6917,23.19
541,04/11/18 5:00,22.6917,23.03
542,04/11/18 5:15,22.6917,22.9
543,04/11/18 5:30,22.6917,22.24
544,04/11/18 5:45,22.6917,22.44
545,04/11/18 6:00,22.6917,22.15
546,04/11/18 6:15,22.6917,22.18
547,04/11/18 6:30,22.6917,22.22
548,04/11/18 6:45,22.6917,22.44
549,04/11/18 7:00,22.6917,22.81
550,04/11/18 7:15,22.6917,22.81
551,04/11/18 7:30,22.6917,22.88
552,04/11/18 7:45,22.6917,23.22
553,04/11/18 8:00,22.6917,22.72
554,04/11/18 8:15,22.6917,22.8
555,04/11/18 8:30,22.6917,22.23
556,04/11/18 8:45,22.6917,21.88
557,04/11/18 9:00,22.6917,21.85
558,04/11/18 9:15,22.6917,21.79
559,04/11/18 9:30,22.6917,20.88
560,04/11/18 9:45,22.6917,21.02
561,04/11/18 10:00,22.6917,21.15
562,04/11/18 10:15,22.6917,21.44
563,04/11/18 10:30,22.6917,21.68
564,04/11/18 10:45,22.6917,21.79
565,04/11/18 11:00,22.6917,21.77
566,04/11/18 11:15,22.6917,22
567,04/11/18 11:30,22.6917,22.41
568,04/11/18 11:45,22.6917,22.6
569,04/11/18 12:00,22.6917,22.65
570,04/11/18 12:15,22.6917,23.03
571,04/11/18 12:30,22.6917,23.06
572,04/11/18 12:45,22.6917,23.36
573,04/11/18 13:00,22.6917,23.61
574,04/11/18 13:15,22.6917,23.99
575,04/11/18 13:30,22.6917,24.06
576,04/11/18 13:45,22.6917,24.26
577,04/11/18 14:00,22.6917,24.48
578,04/11/18 14:15,22.6917,25.09
579,04/11/18 14:30,22.6917,25.45
580,04/11/18 14:45,22.6917,25.61
581,04/11/18 15:00,22.6917,25.52
582,04/11/18 15:15,22.6917,25.64
583,04/11/18 15:30,22.6917,25.46
584,04/11/18 15:45,22.6917,25.53
